"","Ensembl_ID","logFC","logCPM","LR","PValue","FDR"
"HNRNPA1P7","ENSG00000215492",0.787784734197088,2.15289697582051,5.21914724214924,0.0223395032878484,0.0594746174144615
"GUSBP9","ENSG00000215630",-1.8083580283052,0.511472722801164,16.6338574396532,4.53344870828491e-05,0.000609360833044602
"TMEM242","ENSG00000215712",0.0969777987470613,3.7827911772239,0.218849702421604,0.639917788552781,0.732163060737219
"TMEM167B","ENSG00000215717",-0.372371662606896,5.76001923665146,2.30027743846285,0.129350892507699,0.22063998128918
"ARHGAP27P1-BPTFP1-KPNA2P3","ENSG00000215769",-0.317045414611861,2.21745967880792,1.0490353328146,0.305729363004584,0.425240971901998
"FAM72D","ENSG00000215784",1.170924156748,-0.54267292648268,8.79580128951159,0.00301924604600091,0.0135852393818549
"TNFRSF25","ENSG00000215788",-0.545649793446421,3.34561372903457,1.73607730202968,0.187636627028254,0.293512229049447
"SLC35E2A","ENSG00000215790",-0.73030112417801,2.55138434701734,6.41270283198084,0.0113306812983516,0.0358472053478111
"ZC3H11B","ENSG00000215817",-0.742660914802967,-0.367306099945633,4.13299860015574,0.0420547692812424,0.095101996471152
".56","ENSG00000215835",-0.511174585309558,-0.14653408062517,3.17701580403105,0.0746810065181953,0.145342604194392
".57","ENSG00000215840",0.318439631469081,-0.433668731396604,0.989906882284913,0.31976513433903,0.439632795439541
"TSTD1","ENSG00000215845",0.761276666562383,3.4791716499486,3.71930077282897,0.0537868908246759,0.114131476927222
"CYB5RL","ENSG00000215883",-0.200879670576114,2.5078207606018,0.398825195643418,0.527696599188351,0.636105181220815
"HSPA5P1","ENSG00000215895",0.594090482020071,-1.01711746037969,2.16711370324103,0.140990638954344,0.235964733405754
"CROCCP2","ENSG00000215908",-0.417368724077949,5.17618664898898,2.75840332076293,0.0967447496907823,0.176890437026666
"ATAD3C","ENSG00000215915",-0.553362254902933,-0.412336820107409,2.74112932077487,0.097795631281271,0.178308568697635
"RPL13AP15","ENSG00000216316",-3.23190954106778,2.40777631111652,26.4101524519823,2.76085531466954e-07,1.39427872806599e-05
"GAPDHP72","ENSG00000216624",0.482322268506167,-0.232228476141603,1.67558913378258,0.195511585371189,0.303125361521488
".58","ENSG00000216775",-0.294051419733558,1.74100227983915,0.453023798893248,0.500902487315809,0.611675840658273
"LY86-AS1","ENSG00000216863",-1.18541870346241,0.72355428447843,7.23996258356527,0.00712984656996378,0.0254055140395409
"RPS2P55","ENSG00000216866",1.10784946119601,1.89147076890743,10.0204683820128,0.00154810094530218,0.00838031583844044
"RPL22P12","ENSG00000216867",-0.554948433133454,-1.63808675278674,2.14863874845777,0.142696357165268,0.238194994851334
"CCDC7","ENSG00000216937",-1.23323595857306,2.87735170785801,8.42646293366091,0.00369798995395467,0.0157463258816679
"TPT1P4","ENSG00000217027",0.99962554045478,1.99697164568259,5.72143992419686,0.016758980973785,0.0481533844835968
"FNIP1","ENSG00000217128",-1.27381328856541,6.40313503423819,9.16380091421041,0.0024684932542214,0.0117332710710698
".59","ENSG00000217130",1.0983438564744,1.26206173517976,8.64643988009843,0.00327701053842421,0.0144269807923888
"ANKRD18EP","ENSG00000217165",-0.362714829718567,2.33389866970458,1.42340655034751,0.232843514433544,0.346612977421157
".60","ENSG00000217275",-1.44121205851074,1.59435210449926,11.0593446274054,0.000882413287606329,0.00551203067453211
"PRELID1P1","ENSG00000217325",0.234160980051579,-2.02842429575241,0.416035900514814,0.518921709820366,0.627660601843291
"YWHAZP10","ENSG00000217624",-1.31143251867863,0.295841910970139,9.65043234227102,0.00189307023793658,0.00968508255658627
"RPS10P3","ENSG00000217716",1.10632211587727,1.23149430165274,10.0198773932033,0.00154859776501722,0.00838031583844044
".61","ENSG00000217801",-1.24747071816588,0.626181862701746,11.2419849967089,0.000799675869647561,0.00513959064107393
"PAM16","ENSG00000217930",-1.06209759898539,3.15816020733958,10.8324458948721,0.000997368004182553,0.00604507263072078
"RBM38-AS1","ENSG00000218018",-1.07788010980465,3.46063389491674,8.44793197118704,0.00365458772299732,0.0156284850129206
".62","ENSG00000218175",1.35406404366633,4.29305194238105,12.3864489665467,0.000432460913137776,0.00326879892639603
"TATDN2P2","ENSG00000218226",-0.402176929242053,2.95535391002177,0.536753405306854,0.463781343711393,0.57941373209536
"RPS4XP7","ENSG00000218265",0.99950583885275,0.155981605761032,7.00083117951557,0.0081471878467692,0.0281225219048118
"MORF4L1P1","ENSG00000218283",0.109188450176111,3.02989358234956,0.224297464631988,0.635784795490379,0.728887587225228
".63","ENSG00000218426",1.20863655532288,4.91446897966387,6.40541643705028,0.0113772738325066,0.0359640622865868
"RPS27P15","ENSG00000218459",-0.6974975451654,-1.09149319760251,4.82988789770474,0.0279704492540626,0.0703534953548919
"H2AZP3","ENSG00000218502",-2.72184296616754,0.917283931445286,32.0788565308852,1.48039735622061e-08,1.66968986354088e-06
"MIF-AS1","ENSG00000218537",-1.63847382549693,0.823105039552746,14.053914661453,0.000177643669972062,0.00168891856748168
"GAPDHP63","ENSG00000218582",0.568980972518018,-0.386378813244114,2.91529411819002,0.0877434139502352,0.164241912430029
".64","ENSG00000218596",-3.58462708355657,1.96904883786489,42.0931606984618,8.70270293145813e-11,5.3343053478954e-08
"H2AC10P","ENSG00000218690",-1.34634006683315,0.0580797617389846,12.7904675238257,0.000348390040814612,0.00276964505232449
"CEBPZOS","ENSG00000218739",0.382720770137256,5.2434181408911,1.94615068525411,0.163002255628738,0.263699381513403
"ZNF579","ENSG00000218891",-0.00065749191053237,3.8846375106103,6.69475221570792e-06,0.997935538297619,0.998740000642075
"PTMAP3","ENSG00000218902",-0.58668117061275,-0.822284495972671,2.29098511347185,0.130127308273062,0.221634461947191
"RPL21P19","ENSG00000219133",0.540207003472161,0.497076223893882,2.54359518697422,0.11074237042135,0.195919704849457
"RPS4XP8","ENSG00000219146",0.968049348303101,-0.994360604526248,6.0758788329701,0.0137040104191536,0.0413535238453617
"HMGB1P20","ENSG00000219163",-1.99881806728065,-0.505944974373421,21.638793560346,3.29127285843522e-06,8.42497990463365e-05
"RNASEK","ENSG00000219200",-0.895449811835764,2.61708923476055,7.08804820870487,0.00775997144389896,0.0270998721451493
"RPS20P2","ENSG00000219274",-0.363212801832736,1.55135405244606,1.31125622807407,0.252167334352192,0.367160764970578
"HSPA8P15","ENSG00000219395",-1.95178952652651,0.475165125705993,14.7579423625866,0.000122231559720404,0.00127432174717605
"RPL23P8","ENSG00000219451",0.954309754645505,0.247534359334214,5.92020181478788,0.0149682439487239,0.0442541969335362
".65","ENSG00000219470",0.661973734142626,1.47379171692259,6.7089028284906,0.00959327315676765,0.0317530734257997
